#N	J	<m>	<m>_err	<epsilon>	<epsilon>_err	lofb
20	1.500000	0.950466	0.001032	-1.185900	0.002822	64
20	1.500000	0.950458	0.001203	-1.185836	0.003256	128
20	1.500000	0.950429	0.001250	-1.186161	0.003307	256
20	1.500000	0.950956	0.001076	-1.184443	0.002657	512
20	1.600000	0.960453	0.000388	-1.246785	0.004235	1
20	1.600000	0.960454	0.000250	-1.246832	0.001369	2
20	1.600000	0.960457	0.000334	-1.246827	0.001589	4
20	1.600000	0.960450	0.000455	-1.246801	0.001993	8
20	1.600000	0.960449	0.000609	-1.246822	0.002503	16
20	1.600000	0.960440	0.000811	-1.246852	0.003387	32
20	1.600000	0.960446	0.000997	-1.246864	0.003975	64
20	1.600000	0.960441	0.001312	-1.246839	0.004969	128
20	1.600000	0.960391	0.001291	-1.247141	0.005178	256
20	1.600000	0.960144	0.001582	-1.247941	0.006209	512
20	1.700000	0.965848	0.000404	-1.313367	0.004901	1
20	1.700000	0.965844	0.000281	-1.313359	0.001477	2
20	1.700000	0.965851	0.000384	-1.313365	0.001867	4
20	1.700000	0.965838	0.000521	-1.313348	0.002338	8
20	1.700000	0.965871	0.000712	-1.313360	0.003177	16
20	1.700000	0.965856	0.000980	-1.313314	0.004094	32
20	1.700000	0.965870	0.001264	-1.313357	0.005283	64
20	1.700000	0.965883	0.001678	-1.313268	0.006689	128
20	1.700000	0.965953	0.002046	-1.312983	0.008267	256
20	1.700000	0.967865	0.000584	-1.304889	0.002364	512
20	1.800000	0.971689	0.000340	-1.374332	0.005097	1
20	1.800000	0.971690	0.000238	-1.374298	0.001359	2
20	1.800000	0.971693	0.000330	-1.374279	0.001596	4
20	1.800000	0.971694	0.000453	-1.374294	0.001970	8
20	1.800000	0.971685	0.000638	-1.374354	0.002615	16
20	1.800000	0.971687	0.000881	-1.374303	0.003516	32
20	1.800000	0.971693	0.001149	-1.374305	0.004623	64
20	1.800000	0.971676	0.001468	-1.374295	0.005974	128
20	1.800000	0.971691	0.001610	-1.374039	0.006483	256
20	1.800000	0.971573	0.001688	-1.374531	0.006681	512
20	1.900000	0.976234	0.000294	-1.436544	0.005516	1
20	1.900000	0.976233	0.000188	-1.436520	0.001160	2
20	1.900000	0.976234	0.000260	-1.436511	0.001458	4
20	1.900000	0.976237	0.000357	-1.436536	0.001940	8
20	1.900000	0.976236	0.000503	-1.436545	0.002645	16
20	1.900000	0.976235	0.000688	-1.436579	0.003645	32
20	1.900000	0.976233	0.000948	-1.436578	0.004859	64
20	1.900000	0.976226	0.001287	-1.436494	0.006545	128
20	1.900000	0.976268	0.001659	-1.436403	0.008383	256
20	1.900000	0.976343	0.002240	-1.435970	0.010945	512
20	2.000000	0.981514	0.000222	-1.486686	0.005076	1
20	2.000000	0.981511	0.000150	-1.486658	0.001010	2
20	2.000000	0.981513	0.000209	-1.486664	0.001290	4
20	2.000000	0.981510	0.000294	-1.486671	0.001692	8
20	2.000000	0.981518	0.000412	-1.486630	0.002289	16
20	2.000000	0.981515	0.000560	-1.486572	0.003133	32
20	2.000000	0.981524	0.000768	-1.486557	0.004262	64
20	2.000000	0.981511	0.000955	-1.486616	0.005600	128
20	2.000000	0.981712	0.001251	-1.485321	0.007218	256
20	2.000000	0.981807	0.001662	-1.484426	0.009563	512
