x	l	dc
-4.300000e-01	1	4.583611e-01
-4.300000e-01	2	6.755388e-01
-4.300000e-01	3	4.151335e-01
-4.300000e-01	4	4.479984e-01
-4.300000e-01	5	4.693022e-01
-4.300000e-01	6	4.565641e-01
-4.200000e-01	0	1.696071e+00
-4.200000e-01	1	4.630061e-01
-4.200000e-01	2	6.837565e-01
-4.200000e-01	3	4.253661e-01
-4.200000e-01	4	4.543079e-01
-4.200000e-01	5	4.767772e-01
-4.200000e-01	6	4.644649e-01
-4.100000e-01	0	1.696071e+00
-4.100000e-01	1	4.688006e-01
-4.100000e-01	2	6.917362e-01
-4.100000e-01	3	4.358488e-01
-4.100000e-01	4	4.609134e-01
-4.100000e-01	5	4.844035e-01
-4.100000e-01	6	4.725741e-01
-4.000000e-01	0	1.696071e+00
-4.000000e-01	1	4.757446e-01
-4.000000e-01	2	6.994888e-01
-4.000000e-01	3	4.465792e-01
-4.000000e-01	4	4.678227e-01
-4.000000e-01	5	4.921894e-01
-4.000000e-01	6	4.808948e-01
-3.900000e-01	0	1.696071e+00
-3.900000e-01	1	4.838380e-01
-3.900000e-01	2	7.070261e-01
-3.900000e-01	3	4.575555e-01
-3.900000e-01	4	4.750435e-01
-3.900000e-01	5	5.001434e-01
-3.900000e-01	6	4.894306e-01
-3.800000e-01	0	1.696071e+00
-3.800000e-01	1	4.930809e-01
-3.800000e-01	2	7.143613e-01
-3.800000e-01	3	4.687756e-01
-3.800000e-01	4	4.825831e-01
-3.800000e-01	5	5.082749e-01
-3.800000e-01	6	4.981850e-01
-3.700000e-01	0	1.696071e+00
-3.700000e-01	1	5.034733e-01
-3.700000e-01	2	7.215085e-01
-3.700000e-01	3	4.802378e-01
-3.700000e-01	4	4.904486e-01
-3.700000e-01	5	5.165932e-01
-3.700000e-01	6	5.071622e-01
-3.600000e-01	0	1.696071e+00
-3.600000e-01	1	5.150152e-01
-3.600000e-01	2	7.284830e-01
-3.600000e-01	3	4.919406e-01
-3.600000e-01	4	4.986469e-01
-3.600000e-01	5	5.251082e-01
-3.600000e-01	6	5.163665e-01
-3.500000e-01	0	1.696071e+00
-3.500000e-01	1	5.277065e-01
-3.500000e-01	2	7.353014e-01
-3.500000e-01	3	5.038825e-01
-3.500000e-01	4	5.071847e-01
-3.500000e-01	5	5.338302e-01
-3.500000e-01	6	5.258025e-01
-3.400000e-01	0	1.696071e+00
-3.400000e-01	1	5.415473e-01
-3.400000e-01	2	7.419813e-01
-3.400000e-01	3	5.160623e-01
-3.400000e-01	4	5.160685e-01
-3.400000e-01	5	5.427699e-01
-3.400000e-01	6	5.354752e-01
-3.300000e-01	0	1.696071e+00
-3.300000e-01	1	5.565376e-01
-3.300000e-01	2	7.485414e-01
-3.300000e-01	3	5.284790e-01
-3.300000e-01	4	5.253046e-01
-3.300000e-01	5	5.519381e-01
-3.300000e-01	6	5.453901e-01
-3.200000e-01	0	1.696071e+00
-3.200000e-01	1	5.726773e-01
-3.200000e-01	2	7.550017e-01
-3.200000e-01	3	5.411317e-01
-3.200000e-01	4	5.348993e-01
-3.200000e-01	5	5.613461e-01
-3.200000e-01	6	5.555528e-01
-3.100000e-01	0	1.696071e+00
-3.100000e-01	1	5.899665e-01
-3.100000e-01	2	7.613831e-01
-3.100000e-01	3	5.540199e-01
-3.100000e-01	4	5.448587e-01
-3.100000e-01	5	5.710057e-01
-3.100000e-01	6	5.659696e-01
-3.000000e-01	0	1.696071e+00
-3.000000e-01	1	6.084052e-01
-3.000000e-01	2	7.677079e-01
-3.000000e-01	3	5.671432e-01
-3.000000e-01	4	5.551888e-01
-3.000000e-01	5	5.809286e-01
-3.000000e-01	6	5.766472e-01
-2.900000e-01	0	1.696071e+00
-2.900000e-01	1	6.279934e-01
-2.900000e-01	2	7.739995e-01
-2.900000e-01	3	5.805015e-01
-2.900000e-01	4	5.658956e-01
-2.900000e-01	5	5.911270e-01
-2.900000e-01	6	5.875924e-01
-2.800000e-01	0	1.696071e+00
-2.800000e-01	1	6.487310e-01
-2.800000e-01	2	7.802822e-01
-2.800000e-01	3	5.940951e-01
-2.800000e-01	4	5.769849e-01
-2.800000e-01	5	6.016136e-01
-2.800000e-01	6	5.988129e-01
-2.700000e-01	0	1.696071e+00
-2.700000e-01	1	6.706181e-01
-2.700000e-01	2	7.865818e-01
-2.700000e-01	3	6.079246e-01
-2.700000e-01	4	5.884628e-01
-2.700000e-01	5	6.124009e-01
-2.700000e-01	6	6.103166e-01
-2.600000e-01	0	1.696071e+00
-2.600000e-01	1	6.936547e-01
-2.600000e-01	2	7.929248e-01
-2.600000e-01	3	6.219908e-01
-2.600000e-01	4	6.003350e-01
-2.600000e-01	5	6.235021e-01
-2.600000e-01	6	6.221119e-01
-2.500000e-01	0	1.696071e+00
-2.500000e-01	1	7.178408e-01
-2.500000e-01	2	7.993394e-01
-2.500000e-01	3	6.362950e-01
-2.500000e-01	4	6.126075e-01
-2.500000e-01	5	6.349304e-01
-2.500000e-01	6	6.342079e-01
-2.400000e-01	0	1.696071e+00
-2.400000e-01	1	7.431763e-01
-2.400000e-01	2	8.058544e-01
-2.400000e-01	3	6.508391e-01
-2.400000e-01	4	6.252863e-01
-2.400000e-01	5	6.466993e-01
-2.400000e-01	6	6.466139e-01
-2.300000e-01	0	1.696071e+00
-2.300000e-01	1	7.696613e-01
-2.300000e-01	2	8.125001e-01
-2.300000e-01	3	6.656250e-01
-2.300000e-01	4	6.383773e-01
-2.300000e-01	5	6.588226e-01
-2.300000e-01	6	6.593401e-01
-2.200000e-01	0	1.696071e+00
-2.200000e-01	1	7.972958e-01
-2.200000e-01	2	8.193078e-01
-2.200000e-01	3	6.806556e-01
-2.200000e-01	4	6.518869e-01
-2.200000e-01	5	6.713142e-01
-2.200000e-01	6	6.723969e-01
-2.100000e-01	0	1.696071e+00
-2.100000e-01	1	8.260797e-01
-2.100000e-01	2	8.263100e-01
-2.100000e-01	3	6.959340e-01
-2.100000e-01	4	6.658212e-01
-2.100000e-01	5	6.841884e-01
-2.100000e-01	6	6.857954e-01
-2.000000e-01	0	1.696071e+00
-2.000000e-01	1	8.560131e-01
-2.000000e-01	2	8.335402e-01
-2.000000e-01	3	7.114640e-01
-2.000000e-01	4	6.801866e-01
-2.000000e-01	5	6.974597e-01
-2.000000e-01	6	6.995473e-01
-1.900000e-01	0	1.696071e+00
-1.900000e-01	1	8.870960e-01
-1.900000e-01	2	8.410332e-01
-1.900000e-01	3	7.272500e-01
-1.900000e-01	4	6.949899e-01
